,precision,recall,f1-score,support
Ham,0.9963493400730132,0.9712565015056118,0.9836429165511505,3653.0
Spam,0.9807973664959766,0.9975818452380952,0.9891184064920694,5376.0
accuracy,0.9869310001107542,0.9869310001107542,0.9869310001107542,0.9869310001107542
macro avg,0.9885733532844949,0.9844191733718535,0.98638066152161,9029.0
weighted avg,0.9870894652308216,0.9869310001107542,0.9869031041602302,9029.0
