,precision,recall,f1-score,support
Ham,0.9857729138166894,0.9863126197645771,0.9860426929392446,3653.0
Spam,0.990695943431336,0.9903273809523809,0.9905116279069768,5376.0
accuracy,0.9887030678923469,0.9887030678923469,0.9887030678923469,0.9887030678923469
macro avg,0.9882344286240128,0.988320000358479,0.9882771604231106,9029.0
weighted avg,0.9887041583851178,0.9887030678923469,0.9887035628458265,9029.0
