,precision,recall,f1-score,support
Ham,0.9958344904193279,0.9816589104845332,0.9886958919216984,3653.0
Spam,0.987656595431098,0.9972098214285714,0.9924102184376157,5376.0
accuracy,0.9909181526193377,0.9909181526193377,0.9909181526193377,0.9909181526193377
macro avg,0.9917455429252129,0.9894343659565523,0.9905530551796571,9029.0
weighted avg,0.9909652509180847,0.9909181526193377,0.9909074568070203,9029.0
