Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9869310001107542,0.9807973664959766,0.9975818452380952,0.9891184064920694
Naive Bayes,0.9887030678923469,0.990695943431336,0.9903273809523809,0.9905116279069768
SVM (LinearSVC),0.9909181526193377,0.987656595431098,0.9972098214285714,0.9924102184376157
