,precision,recall,f1-score,support
Legitimate,0.9642857142857143,0.9941089837997055,0.9789702683103698,679.0
Phishing,0.9939117199391172,0.9631268436578171,0.9782771535580524,678.0
accuracy,0.9786293294030951,0.9786293294030951,0.9786293294030951,0.9786293294030951
macro avg,0.9790987171124157,0.9786179137287613,0.9786237109342111,1357.0
weighted avg,0.9790878011191757,0.9786293294030951,0.9786239663191605,1357.0
