Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9884711122756452,0.9819027921406411,0.9952830188679245,0.9885476314419573
Naive Bayes,0.9866369710467706,0.9912698412698413,0.9819182389937107,0.9865718799368088
SVM (LinearSVC),0.992401414908948,0.9898331595411888,0.995020964360587,0.9924202822791427
