,precision,recall,f1-score,support
Legitimate,0.9656652360515021,0.9941089837997055,0.9796806966618288,679.0
Phishing,0.993920972644377,0.9646017699115044,0.9790419161676647,678.0
accuracy,0.9793662490788504,0.9793662490788504,0.9793662490788504,0.9793662490788504
macro avg,0.9797931043479395,0.9793553768556049,0.9793613064147467,1357.0
weighted avg,0.9797826932438155,0.9793662490788504,0.9793615417797039,1357.0
