,precision,recall,f1-score,support
Legitimate,0.9854439592430859,0.9970544918998527,0.9912152269399708,679.0
Phishing,0.9970149253731343,0.9852507374631269,0.9910979228486647,678.0
accuracy,0.9911569638909359,0.9911569638909359,0.9911569638909359,0.9911569638909359
macro avg,0.99122944230811,0.9911526146814897,0.9911565748943177,1357.0
weighted avg,0.9912251788718057,0.9911569638909359,0.9911566181161642,1357.0
