Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9867354458364038,0.9969879518072289,0.976401179941003,0.9865871833084948
Naive Bayes,0.9793662490788504,0.993920972644377,0.9646017699115044,0.9790419161676647
SVM (LinearSVC),0.9911569638909359,0.9970149253731343,0.9852507374631269,0.9910979228486647
