,precision,recall,f1-score,support
Legitimate,0.976911976911977,0.9970544918998527,0.9868804664723032,679.0
Phishing,0.9969879518072289,0.976401179941003,0.9865871833084948,678.0
accuracy,0.9867354458364038,0.9867354458364038,0.9867354458364038,0.9867354458364038
macro avg,0.9869499643596029,0.9867278359204279,0.986733824890399,1357.0
weighted avg,0.9869425671691477,0.9867354458364038,0.9867339329534659,1357.0
