Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9874723655121592,0.9969924812030075,0.9778761061946902,0.9873417721518988
Naive Bayes,0.9786293294030951,0.9939117199391172,0.9631268436578171,0.9782771535580524
SVM (LinearSVC),0.9911569638909359,0.9970149253731343,0.9852507374631269,0.9910979228486647
