,precision,recall,f1-score,support
Legitimate,0.9783236994219653,0.9970544918998527,0.987600291757841,679.0
Phishing,0.9969924812030075,0.9778761061946902,0.9873417721518988,678.0
accuracy,0.9874723655121592,0.9874723655121592,0.9874723655121592,0.9874723655121592
macro avg,0.9876580903124864,0.9874652990472714,0.9874710319548698,1357.0
weighted avg,0.9876512116161779,0.9874723655121592,0.987471127208962,1357.0
