,precision,recall,f1-score,support
Ham,0.9952314165497896,0.9712565015056118,0.9830978110279855,3653.0
Spam,0.9807903402854007,0.9968389735961324,0.9887495389155293,5378.0
accuracy,0.9864909755287343,0.9864909755287343,0.9864909755287343,0.9864909755287343
macro avg,0.9880108784175952,0.984047737550872,0.9859236749717575,9031.0
weighted avg,0.9866316924716273,0.9864909755287343,0.986463439704678,9031.0
