,precision,recall,f1-score,support
Ham,0.9846869018321028,0.9857651245551602,0.9852257181942544,3653.0
Spam,0.9903237811685895,0.9895872071402008,0.9899553571428571,5378.0
accuracy,0.9880411914516665,0.9880411914516665,0.9880411914516665,0.9880411914516665
macro avg,0.9875053415003462,0.9876761658476805,0.9875905376685558,9031.0
weighted avg,0.988043688131696,0.9880411914516665,0.9880422388747533,9031.0
