Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9864909755287343,0.9807903402854007,0.9968389735961324,0.9887495389155293
Naive Bayes,0.9880411914516665,0.9903237811685895,0.9895872071402008,0.9899553571428571
SVM (LinearSVC),0.9914738124238733,0.9882114569902376,0.9975827445146894,0.9928749884334228
