,precision,recall,f1-score,support
Ham,0.9963908939478068,0.9824801532986587,0.9893866299104066,3653.0
Spam,0.9882114569902376,0.9975827445146894,0.9928749884334228,5378.0
accuracy,0.9914738124238733,0.9914738124238733,0.9914738124238733,0.9914738124238733
macro avg,0.9923011754690222,0.990031448906674,0.9911308091719147,9031.0
weighted avg,0.9915200034641607,0.9914738124238733,0.9914639626683273,9031.0
